protein1_uniprot,protein2_uniprot,interaction_type
A6ZKK5,Q12165,0
A6ZQ91,P57744,0
A6ZXI2,P53622,0
A7A196,Q04491,0
A7A232,B5VI19,0
A7A232,P21242,0
A7A232,P21243,0
A7A232,P22141,0
A7A232,P23638,0
A7A232,P23639,0
A7A232,P23724,0
A7A232,P25043,0
A7A232,P25451,0
A7A232,P30656,0
A7A232,P30657,0
A7A232,P32379,0
A7A232,P38624,0
A7A232,P40302,0
A7A232,P40303,0
A7A232,P43583,0
A7J3A1,O37061,0
A7MB62,Q3MHR7,0
A7MB62,Q3MHR7,0
A7MB62,Q3T035,0
A7MB62,Q3T035,0
A7YSZ1,D2AMC8,0
A7ZKI9,B1LI60,0
A7ZS99,Q0TCQ9,0
A7ZS99,Q31W77,0
A7ZSB8,B2PBH3,0
A8A0Z2,P64488,0
A8CDU0,P01738,0
A8CDU0,P04213,0
A8K5J8,Q53HU9,0
A8KWB0,B7CL66,0
A8KWB0,C4AU14,0
A8KWB0,Q3JP15,0
A8MUD0,O15533,0
A8NN31,Q15843,0
A8T655,P01130,0
A9HTI6,Q15788,0
A9JJF6,P01738,0
A9N7T8,E7V2G6,0
A9N7T8,P22524,0
A9Z7A5,Q8ZAX1,0
B0CM87,P05230,0
B0I344,B1Q037,0
B0I344,B5WZR5,0
B0I344,O80066,0
B0QCI5,C3NZR3,0
B0QYP2,O95931,0
B0RZ82,Q9UKL0,0
B0UXW4,P00751,0
B1HAW5,Q63R49,0
B1Q037,O50603,0
B1XC34,P0AEX9,0
B1XE84,P69910,0
B1XHJ8,P0A6L4,0
B2LYR2,P20963,0
B2LYR2,P31818,0
B2NAN0,B3XI15,0
B2P6Y0,B3BZ18,0
B2P6Y0,E0MCN1,0
B2P6Y0,P03732,0
B2P6Y0,Q8X5E5,0
B2P8S8,E7TNA1,0
B2PF52,P0A772,0
B2PI34,Q8X655,0
B2PSJ2,B3WNF0,0
B2RWL8,P01849,0
B3BIJ3,B3BZ18,0
B3BIJ3,B3IGB9,0
B3BIJ3,E0MCN1,0
B3BZ18,B3IGB9,0
B3BZ18,P03732,0
B3HBV6,P0A6F3,0
B3HC25,P69924,0
B3HYN4,P0A6L4,0
B3ICA7,P0A6F1,0
B3IGB9,E0MCN1,0
B3IGB9,P03732,0
B3IGB9,Q8X5E5,0
B3IGM7,P55089,0
B3LDA6,Q9NG97,0
B3LJS5,Q6WNK7,0
B3LNM9,E7QB62,0
B3LNM9,E9PAG7,0
B3LNP9,P28241,0
B3NZ75,Q24117,0
B3X1J2,Q31U64,0
B3X2L0,P62552,0
B3X519,P0A6L4,0
B3ZED8,C2UKQ0,0
B4AC35,B5P9N9,0
B4AC35,Q9L9I0,0
B4AQU0,C6YVW8,0
B4AQU0,Q5NH47,0
B4DDT3,P25116,0
B4DDT3,Q71U07,0
B4DEZ9,P01130,0
B4DG64,B7ZA36,0
B4DG64,P61258,0
B4DJX1,P10515,0
B4E216,P00746,0
B4WII1,P0A387,0
B4WII1,P51765,0
B4WII1,Q8DIN9,0
B4WII1,Q8DIP0,0
B4WII1,Q8DIQ1,0
B4WII1,Q9F1K9,0
B5G4J1,P62158,0
B5G4J1,Q13936,0
B5G4J1,Q4SPI3,0
B5G4J1,Q810C8,0
B5MSH1,B5NVW9,0
B5NVW9,B5P8J3,0
B5P9N9,C0Q2T4,0
B5VI19,P21242,0
B5VI19,P21243,0
B5VI19,P22141,0
B5VI19,P23638,0
B5VI19,P23639,0
B5VI19,P23724,0
B5VI19,P25043,0
B5VI19,P25451,0
B5VI19,P30656,0
B5VI19,P30657,0
B5VI19,P32379,0
B5VI19,P38624,0
B5VI19,P40302,0
B5VI19,P40303,0
B5VI19,P43583,0
B5VJI0,P16861,0
B5WZR5,O50603,0
B5YXG7,E0MCN1,0
B5YXG7,P03732,0
B5Z8Y5,E1Q1H0,0
B6VCY1,Q807P2,0
B6VCY1,Q9JAD8,0
B6ZXS7,P0A6L4,0
B7CL66,C0XZF8,0
B7CL66,Q3JP15,0
B7LHT3,P0A6L4,0
B7LSM5,P0AEI6,0
B7M0T7,D7ZES3,0
B7MHL3,P0AC25,0
B7UJB5,E8YBP8,0
B7Z7I2,Q15596,0
B7Z7I2,Q86YY2,0
B7ZA36,P12004,0
B7ZLY4,P36888,0
B8H5L0,Q9A2T0,0
B8XCV5,Q75TB2,0
B8YB53,B8YB56,0
B8YB53,B8YB58,0
B8YB53,B8YB63,0
B8YB53,B8YB64,0
B8YB54,B8YB56,0
B8YB54,B8YB58,0
B8YB54,B8YB59,0
B8YB54,B8YB62,0
B8YB54,B8YB63,0
B8YB54,B8YB64,0
B8YB55,B8YB59,0
B8YB55,B8YB60,0
B8YB55,B8YB65,0
B8YB56,B8YB57,0
B8YB56,B8YB58,0
B8YB56,B8YB59,0
B8YB56,B8YB60,0
B8YB56,B8YB61,0
B8YB56,B8YB65,0
B8YB56,Q97ZJ9,0
B8YB56,Q980A3,0
B8YB57,B8YB59,0
B8YB57,B8YB60,0
B8YB57,B8YB62,0
B8YB57,B8YB63,0
B8YB57,B8YB64,0
B8YB57,B8YB65,0
B8YB58,B8YB59,0
B8YB58,B8YB60,0
B8YB58,B8YB61,0
B8YB58,B8YB62,0
B8YB58,B8YB63,0
B8YB58,B8YB64,0
B8YB58,B8YB65,0
B8YB58,Q97ZJ9,0
B8YB59,B8YB60,0
B8YB59,B8YB61,0
B8YB59,B8YB62,0
B8YB59,B8YB63,0
B8YB59,B8YB64,0
B8YB59,B8YB65,0
B8YB59,Q97ZJ9,0
B8YB59,Q980A3,0
B8YB60,B8YB62,0
B8YB60,B8YB63,0
B8YB60,B8YB64,0
B8YB60,Q980A3,0
B8YB61,B8YB62,0
B8YB61,B8YB63,0
B8YB61,B8YB64,0
B8YB61,B8YB65,0
B8YB62,B8YB63,0
B8YB62,B8YB64,0
B8YB62,B8YB65,0
B8YB62,Q97ZJ9,0
B8YB62,Q980A3,0
B8YB63,B8YB65,0
B8YB63,Q97ZJ9,0
B8YB63,Q980A3,0
B8YB64,B8YB65,0
B8YB64,Q97ZJ9,0
B8YB64,Q980A3,0
B8YB65,Q97ZJ9,0
B8YB65,Q980A3,0
B8YK79,P00698,0
B9V825,P12497,0
B9VV85,Q91B37,0
B9VV85,Q91B40,0
B9VV85,Q91B42,0
B9XYT0,O26057,0
B9Y1V3,Q7BK04,0
C0LUE4,P31345,0
C0LUE4,Q5R909,0
C0X5A2,C2JK18,0
C0XZF8,C4AU14,0
C1AF05,D5YUF7,0
C1AQ26,D5XUM4,0
C1AQ26,D5YRR7,0
C1AQ26,D6FCP8,0
C1AQ26,D7ESJ2,0
C1AQ26,E2TAM5,0
C1NAQ6,Q7JJ26,0
C2DWC8,E1J7M2,0
C2IAL6,C2IH66,0
C2J9I2,Q9K4U1,0
C3HQD3,Q81KC7,0
C3SGD7,D3GV49,0
C3SGD7,E9YWU2,0
C4AU14,Q3JP15,0
C4AU14,Q63R49,0
C4PK56,Q07717,0
C5Q5A7,Q2YVR9,0
C5W716,C6E9S5,0
C6DPV1,D5Z4X8,0
C6DPV1,O33245,0
C6DUQ2,O53799,0
C6E9R4,C6E9S4,0
C6E9R4,C6E9S5,0
C6E9S2,C6E9S5,0
C6TEX2,P05310,0
C6TEX2,P05311,0
C6TEX2,P10793,0
C6TEX2,P12353,0
C6TEX2,P12355,0
C6TEX2,P12357,0
C6TEX2,P17227,0
C6TEX2,P17230,0
C6TEX2,P22179,0
C6TEX2,P36886,0
C6TEX2,Q01667,0
C6TEX2,Q41038,0
C6TEX2,Q41385,0
C6TEX2,Q84U30,0
C6TEX2,Q9S831,0
C6TEX2,Q9SQL2,0
C6YVW8,D2AMC8,0
C7GM91,E9PAG7,0
C7GM91,P00830,0
C7GM91,P21306,0
C7GM91,P61829,0
C7GM91,Q12165,0
C7GSE6,C8Z3U3,0
C7GSE6,E7QB62,0
C7GSE6,P07251,0
C7GSE6,P21306,0
C7GSE6,P61829,0
C7GSE6,Q12165,0
C7GUW3,E7QC79,0
C7SIW5,P23008,0
C7SIW5,Q82122,0
C8N4C6,D1R0S6,0
C8Z3U3,E7QB62,0
C9JGC2,Q16630,0
C9QXA2,P0ABB0,0
D0A9L2,Q952G2,0
D0IRB2,O25025,0
D0VWR1,D0VWR3,0
D0VWR1,D0VWR5,0
D0VWR1,D0VWR7,0
D0VWR1,F5H8P3,0
D0VWR1,P0A387,0
D0VWR1,P12239,0
D0VWR1,P12240,0
D0VWR1,P19054,0
D0VWR1,Q7DGD4,0
D0VWR2,D0VWR3,0
D0VWR2,D0VWR4,0
D0VWR2,D0VWR5,0
D0VWR2,D0VWR6,0
D0VWR2,D0VWR9,0
D0VWR2,F5H8P3,0
D0VWR2,P0A387,0
D0VWR2,P12238,0
D0VWR2,P12239,0
D0VWR2,P12240,0
D0VWR2,P12241,0
D0VWR2,P12313,0
D0VWR2,P19054,0
D0VWR2,Q7DGD4,0
D0VWR3,D0VWR4,0
D0VWR3,D0VWR6,0
D0VWR3,D0VWR8,0
D0VWR3,D0VWR9,0
D0VWR3,P0A387,0
D0VWR3,P12238,0
D0VWR3,P12239,0
D0VWR3,P12240,0
D0VWR3,P12241,0
D0VWR3,P12313,0
D0VWR3,P51765,0
D0VWR3,P56152,0
D0VWR4,D0VWR5,0
D0VWR4,D0VWR7,0
D0VWR4,D0VWR9,0
D0VWR4,F5H8P3,0
D0VWR4,P0A387,0
D0VWR4,P12238,0
D0VWR4,P12239,0
D0VWR4,P12240,0
D0VWR4,P12241,0
D0VWR4,P12313,0
D0VWR4,P19054,0
D0VWR4,P51765,0
D0VWR4,P56152,0
D0VWR4,Q7DGD4,0
D0VWR5,D0VWR6,0
D0VWR5,D0VWR8,0
D0VWR5,D0VWR9,0
D0VWR5,P0A387,0
D0VWR5,P12238,0
D0VWR5,P12239,0
D0VWR5,P12240,0
D0VWR5,P12241,0
D0VWR5,P12313,0
D0VWR5,P51765,0
D0VWR5,P56152,0
D0VWR5,Q7DGD4,0
D0VWR6,D0VWR7,0
D0VWR6,D0VWR9,0
D0VWR6,F5H8P3,0
D0VWR6,P0A387,0
D0VWR6,P12239,0
D0VWR6,P12240,0
D0VWR6,P12241,0
D0VWR6,P12313,0
D0VWR6,P19054,0
D0VWR6,P51765,0
D0VWR6,P56152,0
D0VWR6,Q7DGD4,0
D0VWR7,D0VWR9,0
D0VWR7,P12238,0
D0VWR7,P12239,0
D0VWR8,F5H8P3,0
D0VWR8,P12240,0
D0VWR8,P19054,0
D0VWR9,F5H8P3,0
D0VWR9,P0A387,0
D0VWR9,P12238,0
D0VWR9,P12239,0
D0VWR9,P12240,0
D0VWR9,P19054,0
D0VWR9,P56152,0
D0VWR9,Q7DGD4,0
D0VWY9,Q13885,0
D0VWY9,Q7TMM9,0
D0VWZ0,D2HWS0,0
D0VWZ0,P68369,0
D0VWZ0,Q71U36,0
D0VX26,D0VX29,0
D0VX27,D0VX28,0
D0VX27,D0VX29,0
D0VX27,D0VX30,0
D0VX27,D0VX32,0
D0VX27,P18946,0
D0VX27,Q4GWR4,0
D0VX27,Q7GTU5,0
D0VX28,D0VX29,0
D0VX28,D0VX30,0
D0VX28,D0VX31,0
D0VX28,P18946,0
D0VX28,Q4GWR4,0
D0VX28,Q5ZLR5,0
D0VX28,Q7GTU5,0
D0VX29,D0VX32,0
D0VX29,P18946,0
D0VX29,Q4GWR4,0
D0VX29,Q7GTU5,0
D0VX30,Q5ZLR5,0
D1NID1,P71143,0
D2HWS0,Q13885,0
D3FLM4,Q9PIM2,0
D3FPA5,Q9PM40,0
D3GUH3,P77499,0
D3GXV8,Q0T065,0
D3KFX4,Q71AW2,0
D3QW34,E7UAZ0,0
D3Z0V2,Q9WV48,0
D4RTZ8,Q54944,0
D4RTZ8,Q57231,0
D5XUM4,D5YRR7,0
D5XUM4,D6FCP8,0
D5XUM4,D7ESJ2,0
D5XUM4,E2TAM5,0
D5XUM4,O33245,0
D5Y8K8,D5YWM7,0
D5YI18,D5YUF7,0
D5YI18,P0A4Z6,0
D5YRR7,D5Z4X9,0
D5YRR7,D6FCP8,0
D5YRR7,E2TAM5,0
D5Z4X8,O33245,0
D5Z4X9,D6FCP8,0
D5Z4X9,D7ESJ2,0
D5Z4X9,E2TAM5,0
D5Z4X9,O33245,0
D6FCP8,D7ESJ2,0
D6FCP8,E2TAM5,0
D6FCP8,O33244,0
D6FCP8,O33245,0
D6FYS8,P0A4Z6,0
D7ESJ2,E2TAM5,0
D7X6D2,D7ZES3,0
D7X6D2,E1HKJ5,0
D7ZES3,D8B900,0
D8AMG8,P76077,0
D8B900,E8HL01,0
D8EA14,P23874,0
E1C9K6,E1C9K7,0
E1C9K6,E1C9K9,0
E1C9K6,E1C9L0,0
E1C9K6,E1C9L1,0
E1C9K6,E1C9L2,0
E1C9K6,E1C9L3,0
E1C9K6,P17227,0
E1C9K6,P20120,0
E1C9K6,Q32904,0
E1C9K6,Q41038,0
E1C9K6,Q9SQL2,0
E1C9K7,E1C9K8,0
E1C9K7,E1C9K9,0
E1C9K7,E1C9L0,0
E1C9K7,E1C9L1,0
E1C9K7,E1C9L2,0
E1C9K7,E1C9L3,0
E1C9K7,P05310,0
E1C9K7,P05311,0
E1C9K7,P10793,0
E1C9K7,P12355,0
E1C9K7,P17227,0
E1C9K7,P20120,0
E1C9K7,Q32904,0
E1C9K7,Q41038,0
E1C9K7,Q9SQL2,0
E1C9K8,E1C9K9,0
E1C9K8,E1C9L0,0
E1C9K8,E1C9L2,0
E1C9K8,E1C9L3,0
E1C9K8,P12355,0
E1C9K8,P17227,0
E1C9K8,P20120,0
E1C9K8,Q32904,0
E1C9K8,Q41038,0
E1C9K8,Q9SQL2,0
E1C9K9,E1C9L0,0
E1C9K9,E1C9L2,0
E1C9K9,E1C9L3,0
E1C9K9,P05310,0
E1C9K9,P10793,0
E1C9K9,P12355,0
E1C9K9,P20120,0
E1C9K9,Q32904,0
E1C9K9,Q41038,0
E1C9K9,Q9SQL2,0
E1C9L0,E1C9L1,0
E1C9L0,E1C9L2,0
E1C9L0,E1C9L3,0
E1C9L0,P10793,0
E1C9L0,P17227,0
E1C9L0,P20120,0
E1C9L0,Q32904,0
E1C9L0,Q41038,0
E1C9L0,Q9SQL2,0
E1C9L1,E1C9L2,0
E1C9L1,E1C9L3,0
E1C9L1,P10793,0
E1C9L1,P12355,0
E1C9L1,P20120,0
E1C9L1,Q32904,0
E1C9L1,Q41038,0
E1C9L1,Q9SQL2,0
E1C9L2,E1C9L3,0
E1C9L2,P05310,0
E1C9L2,P05311,0
E1C9L2,P10793,0
E1C9L2,P12355,0
E1C9L2,P17227,0
E1C9L2,P20120,0
E1C9L2,Q32904,0
E1C9L2,Q41038,0
E1C9L2,Q9SQL2,0
E1C9L3,P05311,0
E1C9L3,P10793,0
E1C9L3,P12355,0
E1C9L3,P17227,0
E1C9L3,P20120,0
E1C9L3,Q32904,0
E1C9L3,Q41038,0
E1C9L3,Q9SQL2,0
E1ITP8,P00698,0
E2QZZ6,Q9WU49,0
E2TAM5,O33244,0
E2TAM5,O33245,0
E2TRM7,P64528,0
E3G1A7,E7V2G6,0
E3G1A7,P22524,0
E3G1A7,Q0TJD1,0
E7EVR3,Q8BN74,0
E7HQL4,P0ADV1,0
E7HQL4,P0ADV3,0
E7K310,P80054,0
E7KNE2,P53011,0
E7M1J3,P17157,0
E7NEK9,E7QB62,0
E7NEK9,P07251,0
E7NEK9,Q12165,0
E7QB62,E9PAG7,0
E7QB62,P07251,0
E7QB62,P21306,0
E7QB62,Q12165,0
E7QC79,P25651,0
E7UK73,P23827,0
E7V2G6,P60293,0
E8SWE0,P00953,0
E9P9X4,P00830,0
E9P9X4,P07251,0
E9PAG7,P00830,0
E9PW65,P36894,0
E9RGH8,F2Z283,0
F1NPG5,P0DJH7,0
F1NPJ4,Q5ZIS0,0
F5H747,F5H7Y5,0
F5H8P3,P0A387,0
F5H8P3,P12238,0
F5H8P3,P12239,0
F5H8P3,P12240,0
F5H8P3,P12241,0
F5H8P3,P12313,0
F5H8P3,P51765,0
F5H8P3,P56152,0
F5HB26,P61769,0
O00401,Q9UHR4,0
O00512,Q9NQB0,0
O08582,P01887,0
O08838,O43426,0
O09061,O70435,0
O09061,P28076,0
O09061,P49722,0
O09061,Q60692,0
O09061,Q9QUM9,0
O09061,Q9R1P0,0
O09061,Q9R1P3,0
O09061,Q9Z2U0,0
O11822,P61769,0
O13516,P02407,0
O13516,P05750,0
O13516,P05756,0
O13516,P05759,0
O13516,P06367,0
O13516,P07280,0
O13516,P0C0V8,0
O13516,P0CX29,0
O13516,P0CX37,0
O13516,P0CX39,0
O13516,P0CX47,0
O13516,P0CX51,0
O13516,P0CX55,0
O13516,P26783,0
O13516,P26786,0
O13516,P32905,0
O13516,P33442,0
O13516,P35997,0
O13516,P38011,0
O13516,P38701,0
O13516,P39015,0
O13516,P39938,0
O13516,P41057,0
O13516,P48589,0
O13516,Q01855,0
O13516,Q08745,0
O13516,Q3E792,0
O13516,Q3E7X9,0
O13877,O14459,0
O13877,O74635,0
O13877,O74825,0
O13877,P36595,0
O13877,P87123,0
O13877,Q09191,0
O13877,Q92399,0
O14198,Q9US45,0
O14459,O74635,0
O14459,P37382,0
O14459,P48011,0
O14459,P87123,0
O14459,Q09191,0
O14459,Q92399,0
O14746,P61769,0
O14810,P60880,0
O14964,Q3TPR2,0
O15533,Q5RDG4,0
O30142,O30144,0
O30144,O30142,0
O32475,Q8GI16,0
O32583,P30138,0
O35718,Q15370,0
O35955,O70435,0
O35955,P28063,0
O35955,Q9R1P0,0
O35955,Q9R1P3,0
O35955,Q9Z2U0,0
O35955,Q9Z2U1,0
O38716,P03369,0
O40946,P42773,0
O53799,Q7D9D3,0
O55234,O70435,0
O55234,P49722,0
O55234,P70195,0
O55234,P99026,0
O55234,Q60692,0
O55234,Q9QUM9,0
O55234,Q9R1P0,0
O56165,P13899,0
O56165,Q88487,0
O60673,Q9UBZ9,0
O61233,P02218,0
O61233,Q2I742,0
O61233,Q2I742,0
O61233,Q2I743,0
O61233,Q2I743,0
O61233,Q9GV76,0
O61233,Q9GV76,0
O62798,O07347,0
O70435,P28063,0
O70435,Q9R1P1,0
O74635,O74825,0
O74635,P36595,0
O74635,P37382,0
O74635,P48011,0
O74635,P87123,0
O74635,Q09191,0
O74635,Q92399,0
O74825,P36595,0
O74825,P37382,0
O74825,P48011,0
O74825,P87123,0
O74825,Q02061,0
O74825,Q09191,0
O74825,Q92399,0
O76064,Q15819,0
O80066,Q783R1,0
O81229,P61010,0
O81229,Q5RBR1,0
O81229,Q5XLD9,0
O87799,O87802,0
O87802,O87799,0
O88384,Q9WUF4,0
O90754,Q6PMU1,0
O90754,Q84771,0
O91734,Q912F1,0
O95149,P62826,0
P00044,P00127,0
P00044,P00128,0
P00044,P00163,0
P00044,P07256,0
P00044,P07257,0
P00044,P08067,0
P00044,P08525,0
P00044,P22289,0
P00125,P07552,0
P00125,P07552,0
P00126,P00129,0
P00126,P00130,0
P00126,P00130,0
P00126,P00157,0
P00126,P07552,0
P00126,P07552,0
P00126,P13272,0
P00126,P18946,0
P00126,P23004,0
P00126,P31800,0
P00127,A0N6Y3,0
P00127,P00044,0
P00127,P00128,0
P00127,P00163,0
P00127,P01647,0
P00127,P01647,0
P00127,P07256,0
P00127,P07257,0
P00127,P08067,0
P00127,P18531,0
P00127,P18531,0
P00127,P22289,0
P00127,P22289,0
P00128,A0N6Y3,0
P00128,P00044,0
P00128,P00127,0
P00128,P01647,0
P00128,P01647,0
P00128,P08067,0
P00128,P18531,0
P00128,P18531,0
P00128,P22289,0
P00128,P22289,0
P00129,P00126,0
P00129,P00130,0
P00129,P00130,0
P00129,P13272,0
P00130,P00157,0
P00130,P13271,0
P00130,P18946,0
P00130,P23004,0
P00157,P00126,0
P00157,P00130,0
P00157,P07552,0
P00157,P23004,0
P00163,A0N6Y3,0
P00163,P00044,0
P00163,P00127,0
P00163,P01647,0
P00163,P01647,0
P00163,P07257,0
P00163,P18531,0
P00163,P18531,0
P00163,P22289,0
P00163,P22289,0
P00403,P61769,0
P00415,P00423,0
P00415,P00423,0
P00415,P00426,0
P00415,P00426,0
P00415,P04038,0
P00415,P04038,0
P00415,P10175,0
P00415,P10175,0
P00415,P13183,0
P00415,P13183,0
P00423,P00429,0
P00423,P00429,0
P00423,P07470,0
P00423,P07470,0
P00423,P07471,0
P00423,P07471,0
P00426,P00429,0
P00426,P00429,0
P00426,P00430,0
P00426,P00430,0
P00426,P07470,0
P00426,P07470,0
P00426,P07471,0
P00426,P07471,0
P00426,P10175,0
P00426,P10175,0
P00426,P13183,0
P00426,P13183,0
P00428,P00429,0
P00428,P00429,0
P00428,P00430,0
P00428,P00430,0
P00428,P04038,0
P00428,P04038,0
P00428,P10175,0
P00428,P10175,0
P00428,P13183,0
P00428,P13183,0
P00428,P68553,0
P00429,P00430,0
P00429,P00430,0
P00429,P04038,0
P00429,P04038,0
P00429,P07470,0
P00429,P07470,0
P00429,P10175,0
P00429,P10175,0
P00429,P13183,0
P00429,P13183,0
P00430,P04038,0
P00430,P07471,0
P00430,P13183,0
P00430,P68530,0
P00430,P68553,0
P00639,P06396,0
P00639,P42768,0
P00639,P42768,0
P00639,Q9Y6W5,0
P00639,Q9Y6W5,0
P00734,P02671,0
P00734,P02675,0
P00734,Q25163,0
P00734,Q9UC63,0
P00735,P17855,0
P00735,P56409,0
P00735,Q69EZ8,0
P00746,P01024,0
P00749,P01675,0
P00749,P04004,0
P00749,Q52L64,0
P00749,Q52L64,0
P00749,Q924Q0,0
P00749,Q924Q0,0
P00766,P23827,0
P00766,Q9UCC8,0
P00767,P00974,0
P00767,P68390,0
P00829,P05630,0
P00829,P05630,0
P00829,P05632,0
P00829,P05632,0
P00829,P0A6E6,0
P00829,P13619,0
P00829,P32876,0
P00829,P68699,0
P00830,P21306,0
P00830,P61829,0
P00830,Q12165,0
P00830,Q12165,0
P00830,Q2XN67,0
P00974,P13726,0
P00974,P13726,0
P01008,Q95ND7,0
P01012,P01887,0
P01012,P61769,0
P01012,Q64329,0
P01012,Q8QMP2,0
P01019,P12821,0
P01050,Q69EZ8,0
P01096,P05630,0
P01096,P05632,0
P01161,P18910,0
P01308,P61769,0
P01552,P02458,0
P01552,P04229,0
P01552,P13760,0
P01552,Q96IT5,0
P01589,P14784,0
P01589,P31785,0
P01636,P98002,0
P01644,P38383,0
P01647,P07143,0
P01647,P07256,0
P01647,P07257,0
P01647,P08525,0
P01647,P22289,0
P01675,P04004,0
P01730,P01857,0
P01730,P01857,0
P01730,P03437,0
P01730,Q6GMX8,0
P01730,Q6N030,0
P01730,Q6N095,0
P01730,Q6P5S8,0
P01730,Q6P5S8,0
P01730,Q6PIL8,0
P01730,Q6PYX1,0
P01731,Q76740,0
P01732,Q9YYU8,0
P01738,P01887,0
P01738,P01887,0
P01738,P01903,0
P01738,P04229,0
P01834,P01837,0
P01834,P29460,0
P01834,P61769,0
P01834,Q05320,0
P01837,P03437,0
P01837,P05106,0
P01837,Q7TS98,0
P01848,P01887,0
P01848,P61769,0
P01848,Q03909,0
P01849,P01852,0
P01849,P61769,0
P01850,P0A0M0,0
P01850,P61769,0
P01850,Q03909,0
P01851,P01887,0
P01851,P01887,0
P01851,P61769,0
P01852,P01887,0
P01852,P01887,0
P01857,P29460,0
P01865,Q51918,0
P01867,P01869,0
P01867,P01869,0
P01869,P03437,0
P01869,Q51918,0
P01887,O08582,0
P01887,P01012,0
P01887,P03521,0
P01887,P03521,0
P01887,P03541,0
P01887,P03889,0
P01887,P03889,0
P01887,P04214,0
P01887,P04582,0
P01887,P04582,0
P01887,P04857,0
P01887,P04857,0
P01887,P06436,0
P01887,P06436,0
P01887,P07399,0
P01887,P0C0U1,0
P01887,P11212,0
P01887,P11212,0
P01887,P13175,0
P01887,P13175,0
P01887,P15208,0
P01887,P15208,0
P01887,P15941,0
P01887,P19551,0
P01887,P26091,0
P01887,P26091,0
P01887,P26140,0
P01887,P26140,0
P01887,P26144,0
P01887,P26144,0
P01887,P38158,0
