protein1_pdb,protein2_pdb,protein1_uniprot,protein2_uniprot,interaction_type
4MVB,4MX7,A0A5B9,P01887,0
4MVB,4NSK,A0A5B9,P01887,0
4MVB,4PG2,A0A5B9,P01887,0
4MVB,4PG9,A0A5B9,P01887,0
4MVB,4PGD,A0A5B9,P01887,0
4MVB,4PGE,A0A5B9,P01887,0
4MVB,4Y16,A0A5B9,P01887,0
4MVB,4ZAK,A0A5B9,P01887,0
4MVB,4ZUT,A0A5B9,P01887,0
4MVB,4ZUU,A0A5B9,P01887,0
4MVB,5E8O,A0A5B9,P01887,0
4MVB,5EFI,A0A5B9,P01887,0
4MVB,5KD4,A0A5B9,P01887,0
4MVB,5OQF,A0A5B9,P01887,0
4MVB,5OQH,A0A5B9,P01887,0
4MVB,5WEU,A0A5B9,P01887,0
4MVB,6C5M,A0A5B9,P01887,0
4MVB,6C6F,A0A5B9,P01887,0
4MVB,6C6H,A0A5B9,P01887,0
4MVB,6CW6,A0A5B9,P01887,0
4MVB,6CWB,A0A5B9,P01887,0
4MVB,6CWE,A0A5B9,P01887,0
4MVB,6CX5,A0A5B9,P01887,0
4MVB,6CX9,A0A5B9,P01887,0
4MVB,6CXF,A0A5B9,P01887,0
4MVB,6CYW,A0A5B9,P01887,0
4MVB,6E1I,A0A5B9,P01887,0
4MVB,6GB5,A0A5B9,P01887,0
4MVB,6MJ4,A0A5B9,P01887,0
4MVB,6MJA,A0A5B9,P01887,0
4MVB,6MJI,A0A5B9,P01887,0
4MVB,6MJJ,A0A5B9,P01887,0
4MVB,6OJP,A0A5B9,P01887,0
4MVB,7WCY,A0A5B9,P01887,0
4MVB,8D5K,A0A5B9,P01887,0
4MVB,8FHL,A0A5B9,P01887,0
4N5E,1BQH,A0A5B9,P01887,0
4N5E,1BZ9,A0A5B9,P01887,0
4N5E,1DDH,A0A5B9,P01887,0
4N5E,1FFO,A0A5B9,P01887,0
4N5E,1FO0,A0A5B9,P01887,0
4N5E,1FZJ,A0A5B9,P01887,0
4N5E,1FZK,A0A5B9,P01887,0
4N5E,1FZM,A0A5B9,P01887,0
4N5E,1FZO,A0A5B9,P01887,0
4N5E,1G7P,A0A5B9,P01887,0
4N5E,1HOC,A0A5B9,P01887,0
4N5E,1INQ,A0A5B9,P01887,0
4N5E,1JPF,A0A5B9,P01887,0
4N5E,1JUF,A0A5B9,P01887,0
4N5E,1K8D,A0A5B9,P01887,0
4N5E,1KBG,A0A5B9,P01887,0
4N5E,1KJ2,A0A5B9,P01887,0
4N5E,1KJ3,A0A5B9,P01887,0
4N5E,1KPU,A0A5B9,P01887,0
4N5E,1KPV,A0A5B9,P01887,0
4N5E,1LD9,A0A5B9,P01887,0
4N5E,1LEG,A0A5B9,P01887,0
4N5E,1LEK,A0A5B9,P01887,0
4N5E,1MHC,A0A5B9,P01887,0
4N5E,1N59,A0A5B9,P01887,0
4N5E,1NAM,A0A5B9,P01887,0
4N5E,1NEZ,A0A5B9,P01887,0
4N5E,1P4L,A0A5B9,P01887,0
4N5E,1PQZ,A0A5B9,P01887,0
4N5E,1QO3,A0A5B9,P01887,0
4N5E,1RJZ,A0A5B9,P01887,0
4N5E,1RK0,A0A5B9,P01887,0
4N5E,1RK1,A0A5B9,P01887,0
4N5E,1S7Q,A0A5B9,P01887,0
4N5E,1S7S,A0A5B9,P01887,0
4N5E,1T0N,A0A5B9,P01887,0
4N5E,1VAC,A0A5B9,P01887,0
4N5E,1VAD,A0A5B9,P01887,0
4N5E,1WBX,A0A5B9,P01887,0
4N5E,1WBY,A0A5B9,P01887,0
4N5E,1WBZ,A0A5B9,P01887,0
4N5E,1YN6,A0A5B9,P01887,0
4N5E,1YN7,A0A5B9,P01887,0
4N5E,2CLV,A0A5B9,P01887,0
4N5E,2CLZ,A0A5B9,P01887,0
4N5E,2FO4,A0A5B9,P01887,0
4N5E,2FWO,A0A5B9,P01887,0
4N5E,2OL3,A0A5B9,P01887,0
4N5E,2QRI,A0A5B9,P01887,0
4N5E,2VAA,A0A5B9,P01887,0
4N5E,3BUY,A0A5B9,P01887,0
4N5E,3CPL,A0A5B9,P01887,0
4N5E,3DMM,A0A5B9,P01887,0
4N5E,3FOL,A0A5B9,P01887,0
4N5E,3FOM,A0A5B9,P01887,0
4N5E,3FTG,A0A5B9,P01887,0
4N5E,3G08,A0A5B9,P01887,0
4N5E,3GML,A0A5B9,P01887,0
4N5E,3GMM,A0A5B9,P01887,0
4N5E,3GMO,A0A5B9,P01887,0
4N5E,3GMQ,A0A5B9,P01887,0
4N5E,3GMR,A0A5B9,P01887,0
4N5E,3HE6,A0A5B9,P01887,0
4N5E,3HE7,A0A5B9,P01887,0
4N5E,3ILP,A0A5B9,P01887,0
4N5E,3NWM,A0A5B9,P01887,0
4N5E,3P4M,A0A5B9,P01887,0
4N5E,3P4N,A0A5B9,P01887,0
4N5E,3P4O,A0A5B9,P01887,0
4N5E,3P9L,A0A5B9,P01887,0
4N5E,3P9M,A0A5B9,P01887,0
4N5E,3PAB,A0A5B9,P01887,0
4N5E,3PWU,A0A5B9,P01887,0
4N5E,3ROL,A0A5B9,P01887,0
4N5E,3SDD,A0A5B9,P01887,0
4N5E,3T1F,A0A5B9,P01887,0
4N5E,4IHO,A0A5B9,P01887,0
4N5E,4L8B,A0A5B9,P01887,0
4N5E,4L8D,A0A5B9,P01887,0
4N5E,4MQ7,A0A5B9,P01887,0
4N5E,4MX7,A0A5B9,P01887,0
4N5E,4NSK,A0A5B9,P01887,0
4N5E,4PG2,A0A5B9,P01887,0
4N5E,4PG9,A0A5B9,P01887,0
4N5E,4PGD,A0A5B9,P01887,0
4N5E,4PGE,A0A5B9,P01887,0
4N5E,4Y16,A0A5B9,P01887,0
4N5E,4ZAK,A0A5B9,P01887,0
4N5E,4ZUT,A0A5B9,P01887,0
4N5E,4ZUU,A0A5B9,P01887,0
4N5E,5E8O,A0A5B9,P01887,0
4N5E,5EFI,A0A5B9,P01887,0
4N5E,5KD4,A0A5B9,P01887,0
4N5E,5OQF,A0A5B9,P01887,0
4N5E,5OQH,A0A5B9,P01887,0
4N5E,5WEU,A0A5B9,P01887,0
4N5E,6C5M,A0A5B9,P01887,0
4N5E,6C6F,A0A5B9,P01887,0
4N5E,6C6H,A0A5B9,P01887,0
4N5E,6CW6,A0A5B9,P01887,0
4N5E,6CWB,A0A5B9,P01887,0
4N5E,6CWE,A0A5B9,P01887,0
4N5E,6CX5,A0A5B9,P01887,0
4N5E,6CX9,A0A5B9,P01887,0
4N5E,6CXF,A0A5B9,P01887,0
4N5E,6CYW,A0A5B9,P01887,0
4N5E,6E1I,A0A5B9,P01887,0
4N5E,6GB5,A0A5B9,P01887,0
4N5E,6MJ4,A0A5B9,P01887,0
4N5E,6MJA,A0A5B9,P01887,0
4N5E,6MJI,A0A5B9,P01887,0
4N5E,6MJJ,A0A5B9,P01887,0
4N5E,6OJP,A0A5B9,P01887,0
4N5E,7WCY,A0A5B9,P01887,0
4N5E,8D5K,A0A5B9,P01887,0
4N5E,8FHL,A0A5B9,P01887,0
4ONH,1BQH,A0A5B9,P01887,0
4ONH,1BZ9,A0A5B9,P01887,0
4ONH,1DDH,A0A5B9,P01887,0
4ONH,1FFO,A0A5B9,P01887,0
4ONH,1FO0,A0A5B9,P01887,0
4ONH,1FZJ,A0A5B9,P01887,0
4ONH,1FZK,A0A5B9,P01887,0
4ONH,1FZM,A0A5B9,P01887,0
4ONH,1FZO,A0A5B9,P01887,0
4ONH,1G7P,A0A5B9,P01887,0
4ONH,1HOC,A0A5B9,P01887,0
4ONH,1INQ,A0A5B9,P01887,0
4ONH,1JPF,A0A5B9,P01887,0
4ONH,1JUF,A0A5B9,P01887,0
4ONH,1K8D,A0A5B9,P01887,0
4ONH,1KBG,A0A5B9,P01887,0
4ONH,1KJ2,A0A5B9,P01887,0
4ONH,1KJ3,A0A5B9,P01887,0
4ONH,1KPU,A0A5B9,P01887,0
4ONH,1KPV,A0A5B9,P01887,0
4ONH,1LD9,A0A5B9,P01887,0
4ONH,1LEG,A0A5B9,P01887,0
4ONH,1LEK,A0A5B9,P01887,0
4ONH,1MHC,A0A5B9,P01887,0
4ONH,1N59,A0A5B9,P01887,0
4ONH,1NAM,A0A5B9,P01887,0
4ONH,1NEZ,A0A5B9,P01887,0
4ONH,1P4L,A0A5B9,P01887,0
4ONH,1PQZ,A0A5B9,P01887,0
4ONH,1QO3,A0A5B9,P01887,0
4ONH,1RJZ,A0A5B9,P01887,0
4ONH,1RK0,A0A5B9,P01887,0
4ONH,1RK1,A0A5B9,P01887,0
4ONH,1S7Q,A0A5B9,P01887,0
4ONH,1S7S,A0A5B9,P01887,0
4ONH,1T0N,A0A5B9,P01887,0
4ONH,1VAC,A0A5B9,P01887,0
4ONH,1VAD,A0A5B9,P01887,0
4ONH,1WBX,A0A5B9,P01887,0
4ONH,1WBY,A0A5B9,P01887,0
4ONH,1WBZ,A0A5B9,P01887,0
4ONH,1YN6,A0A5B9,P01887,0
4ONH,1YN7,A0A5B9,P01887,0
4ONH,2CLV,A0A5B9,P01887,0
4ONH,2CLZ,A0A5B9,P01887,0
4ONH,2FO4,A0A5B9,P01887,0
4ONH,2FWO,A0A5B9,P01887,0
4ONH,2OL3,A0A5B9,P01887,0
4ONH,2QRI,A0A5B9,P01887,0
4ONH,2VAA,A0A5B9,P01887,0
4ONH,3BUY,A0A5B9,P01887,0
4ONH,3CPL,A0A5B9,P01887,0
4ONH,3DMM,A0A5B9,P01887,0
4ONH,3FOL,A0A5B9,P01887,0
4ONH,3FOM,A0A5B9,P01887,0
4ONH,3FTG,A0A5B9,P01887,0
4ONH,3G08,A0A5B9,P01887,0
4ONH,3GML,A0A5B9,P01887,0
4ONH,3GMM,A0A5B9,P01887,0
4ONH,3GMO,A0A5B9,P01887,0
4ONH,3GMQ,A0A5B9,P01887,0
4ONH,3GMR,A0A5B9,P01887,0
4ONH,3HE6,A0A5B9,P01887,0
4ONH,3HE7,A0A5B9,P01887,0
4ONH,3ILP,A0A5B9,P01887,0
4ONH,3NWM,A0A5B9,P01887,0
4ONH,3P4M,A0A5B9,P01887,0
4ONH,3P4N,A0A5B9,P01887,0
4ONH,3P4O,A0A5B9,P01887,0
4ONH,3P9L,A0A5B9,P01887,0
4ONH,3P9M,A0A5B9,P01887,0
4ONH,3PAB,A0A5B9,P01887,0
4ONH,3PWU,A0A5B9,P01887,0
4ONH,3ROL,A0A5B9,P01887,0
4ONH,3SDD,A0A5B9,P01887,0
4ONH,3T1F,A0A5B9,P01887,0
4ONH,4IHO,A0A5B9,P01887,0
4ONH,4L8B,A0A5B9,P01887,0
4ONH,4L8D,A0A5B9,P01887,0
4ONH,4MQ7,A0A5B9,P01887,0
4ONH,4MX7,A0A5B9,P01887,0
4ONH,4NSK,A0A5B9,P01887,0
4ONH,4PG2,A0A5B9,P01887,0
4ONH,4PG9,A0A5B9,P01887,0
4ONH,4PGD,A0A5B9,P01887,0
4ONH,4PGE,A0A5B9,P01887,0
4ONH,4Y16,A0A5B9,P01887,0
4ONH,4ZAK,A0A5B9,P01887,0
4ONH,4ZUT,A0A5B9,P01887,0
4ONH,4ZUU,A0A5B9,P01887,0
4ONH,5E8O,A0A5B9,P01887,0
4ONH,5EFI,A0A5B9,P01887,0
4ONH,5KD4,A0A5B9,P01887,0
4ONH,5OQF,A0A5B9,P01887,0
4ONH,5OQH,A0A5B9,P01887,0
4ONH,5WEU,A0A5B9,P01887,0
4ONH,6C5M,A0A5B9,P01887,0
4ONH,6C6F,A0A5B9,P01887,0
4ONH,6C6H,A0A5B9,P01887,0
4ONH,6CW6,A0A5B9,P01887,0
4ONH,6CWB,A0A5B9,P01887,0
4ONH,6CWE,A0A5B9,P01887,0
4ONH,6CX5,A0A5B9,P01887,0
4ONH,6CX9,A0A5B9,P01887,0
4ONH,6CXF,A0A5B9,P01887,0
4ONH,6CYW,A0A5B9,P01887,0
4ONH,6E1I,A0A5B9,P01887,0
4ONH,6GB5,A0A5B9,P01887,0
4ONH,6MJ4,A0A5B9,P01887,0
4ONH,6MJA,A0A5B9,P01887,0
4ONH,6MJI,A0A5B9,P01887,0
4ONH,6MJJ,A0A5B9,P01887,0
4ONH,6OJP,A0A5B9,P01887,0
4ONH,7WCY,A0A5B9,P01887,0
4ONH,8D5K,A0A5B9,P01887,0
4ONH,8FHL,A0A5B9,P01887,0
4Y16,1BQH,A0A5B9,P01887,0
4Y16,1BZ9,A0A5B9,P01887,0
4Y16,1DDH,A0A5B9,P01887,0
4Y16,1FFO,A0A5B9,P01887,0
4Y16,1FO0,A0A5B9,P01887,0
4Y16,1FZJ,A0A5B9,P01887,0
4Y16,1FZK,A0A5B9,P01887,0
4Y16,1FZM,A0A5B9,P01887,0
4Y16,1FZO,A0A5B9,P01887,0
4Y16,1G7P,A0A5B9,P01887,0
4Y16,1HOC,A0A5B9,P01887,0
4Y16,1INQ,A0A5B9,P01887,0
4Y16,1JPF,A0A5B9,P01887,0
4Y16,1JUF,A0A5B9,P01887,0
4Y16,1K8D,A0A5B9,P01887,0
4Y16,1KBG,A0A5B9,P01887,0
4Y16,1KJ2,A0A5B9,P01887,0
4Y16,1KJ3,A0A5B9,P01887,0
4Y16,1KPU,A0A5B9,P01887,0
4Y16,1KPV,A0A5B9,P01887,0
4Y16,1LD9,A0A5B9,P01887,0
4Y16,1LEG,A0A5B9,P01887,0
4Y16,1LEK,A0A5B9,P01887,0
4Y16,1MHC,A0A5B9,P01887,0
4Y16,1N59,A0A5B9,P01887,0
4Y16,1NAM,A0A5B9,P01887,0
4Y16,1NEZ,A0A5B9,P01887,0
4Y16,1P4L,A0A5B9,P01887,0
4Y16,1PQZ,A0A5B9,P01887,0
4Y16,1QO3,A0A5B9,P01887,0
4Y16,1RJZ,A0A5B9,P01887,0
4Y16,1RK0,A0A5B9,P01887,0
4Y16,1RK1,A0A5B9,P01887,0
4Y16,1S7Q,A0A5B9,P01887,0
4Y16,1S7S,A0A5B9,P01887,0
4Y16,1T0N,A0A5B9,P01887,0
4Y16,1VAC,A0A5B9,P01887,0
4Y16,1VAD,A0A5B9,P01887,0
4Y16,1WBX,A0A5B9,P01887,0
4Y16,1WBY,A0A5B9,P01887,0
4Y16,1WBZ,A0A5B9,P01887,0
4Y16,1YN6,A0A5B9,P01887,0
4Y16,1YN7,A0A5B9,P01887,0
4Y16,2CLV,A0A5B9,P01887,0
4Y16,2CLZ,A0A5B9,P01887,0
4Y16,2FO4,A0A5B9,P01887,0
4Y16,2FWO,A0A5B9,P01887,0
4Y16,2OL3,A0A5B9,P01887,0
4Y16,2QRI,A0A5B9,P01887,0
4Y16,2VAA,A0A5B9,P01887,0
4Y16,3BUY,A0A5B9,P01887,0
4Y16,3CPL,A0A5B9,P01887,0
4Y16,3DMM,A0A5B9,P01887,0
4Y16,3FOL,A0A5B9,P01887,0
4Y16,3FOM,A0A5B9,P01887,0
4Y16,3FTG,A0A5B9,P01887,0
4Y16,3G08,A0A5B9,P01887,0
4Y16,3GML,A0A5B9,P01887,0
4Y16,3GMM,A0A5B9,P01887,0
4Y16,3GMO,A0A5B9,P01887,0
4Y16,3GMQ,A0A5B9,P01887,0
4Y16,3GMR,A0A5B9,P01887,0
4Y16,3HE6,A0A5B9,P01887,0
4Y16,3HE7,A0A5B9,P01887,0
4Y16,3ILP,A0A5B9,P01887,0
4Y16,3NWM,A0A5B9,P01887,0
4Y16,3P4M,A0A5B9,P01887,0
4Y16,3P4N,A0A5B9,P01887,0
4Y16,3P4O,A0A5B9,P01887,0
4Y16,3P9L,A0A5B9,P01887,0
4Y16,3P9M,A0A5B9,P01887,0
4Y16,3PAB,A0A5B9,P01887,0
4Y16,3PWU,A0A5B9,P01887,0
4Y16,3ROL,A0A5B9,P01887,0
4Y16,3SDD,A0A5B9,P01887,0
4Y16,3T1F,A0A5B9,P01887,0
4Y16,4IHO,A0A5B9,P01887,0
4Y16,4L8B,A0A5B9,P01887,0
4Y16,4L8D,A0A5B9,P01887,0
4Y16,4MQ7,A0A5B9,P01887,0
4Y16,4MX7,A0A5B9,P01887,0
4Y16,4NSK,A0A5B9,P01887,0
4Y16,4PG2,A0A5B9,P01887,0
4Y16,4PG9,A0A5B9,P01887,0
4Y16,4PGD,A0A5B9,P01887,0
4Y16,4PGE,A0A5B9,P01887,0
4Y16,4Y16,A0A5B9,P01887,0
4Y16,4ZAK,A0A5B9,P01887,0
4Y16,4ZUT,A0A5B9,P01887,0
4Y16,4ZUU,A0A5B9,P01887,0
4Y16,5E8O,A0A5B9,P01887,0
4Y16,5EFI,A0A5B9,P01887,0
4Y16,5KD4,A0A5B9,P01887,0
4Y16,5OQF,A0A5B9,P01887,0
4Y16,5OQH,A0A5B9,P01887,0
4Y16,5WEU,A0A5B9,P01887,0
4Y16,6C5M,A0A5B9,P01887,0
4Y16,6C6F,A0A5B9,P01887,0
4Y16,6C6H,A0A5B9,P01887,0
4Y16,6CW6,A0A5B9,P01887,0
4Y16,6CWB,A0A5B9,P01887,0
4Y16,6CWE,A0A5B9,P01887,0
4Y16,6CX5,A0A5B9,P01887,0
4Y16,6CX9,A0A5B9,P01887,0
4Y16,6CXF,A0A5B9,P01887,0
4Y16,6CYW,A0A5B9,P01887,0
4Y16,6E1I,A0A5B9,P01887,0
4Y16,6GB5,A0A5B9,P01887,0
4Y16,6MJ4,A0A5B9,P01887,0
4Y16,6MJA,A0A5B9,P01887,0
4Y16,6MJI,A0A5B9,P01887,0
4Y16,6MJJ,A0A5B9,P01887,0
4Y16,6OJP,A0A5B9,P01887,0
4Y16,7WCY,A0A5B9,P01887,0
4Y16,8D5K,A0A5B9,P01887,0
4Y16,8FHL,A0A5B9,P01887,0
4ZAK,1BQH,A0A5B9,P01887,0
4ZAK,1BZ9,A0A5B9,P01887,0
4ZAK,1DDH,A0A5B9,P01887,0
4ZAK,1FFO,A0A5B9,P01887,0
4ZAK,1FO0,A0A5B9,P01887,0
4ZAK,1FZJ,A0A5B9,P01887,0
4ZAK,1FZK,A0A5B9,P01887,0
4ZAK,1FZM,A0A5B9,P01887,0
4ZAK,1FZO,A0A5B9,P01887,0
4ZAK,1G7P,A0A5B9,P01887,0
4ZAK,1HOC,A0A5B9,P01887,0
4ZAK,1INQ,A0A5B9,P01887,0
4ZAK,1JPF,A0A5B9,P01887,0
4ZAK,1JUF,A0A5B9,P01887,0
4ZAK,1K8D,A0A5B9,P01887,0
4ZAK,1KBG,A0A5B9,P01887,0
4ZAK,1KJ2,A0A5B9,P01887,0
4ZAK,1KJ3,A0A5B9,P01887,0
4ZAK,1KPU,A0A5B9,P01887,0
4ZAK,1KPV,A0A5B9,P01887,0
4ZAK,1LD9,A0A5B9,P01887,0
4ZAK,1LEG,A0A5B9,P01887,0
4ZAK,1LEK,A0A5B9,P01887,0
4ZAK,1MHC,A0A5B9,P01887,0
4ZAK,1N59,A0A5B9,P01887,0
4ZAK,1NAM,A0A5B9,P01887,0
4ZAK,1NEZ,A0A5B9,P01887,0
4ZAK,1P4L,A0A5B9,P01887,0
4ZAK,1PQZ,A0A5B9,P01887,0
4ZAK,1QO3,A0A5B9,P01887,0
4ZAK,1RJZ,A0A5B9,P01887,0
4ZAK,1RK0,A0A5B9,P01887,0
4ZAK,1RK1,A0A5B9,P01887,0
4ZAK,1S7Q,A0A5B9,P01887,0
4ZAK,1S7S,A0A5B9,P01887,0
4ZAK,1T0N,A0A5B9,P01887,0
4ZAK,1VAC,A0A5B9,P01887,0
4ZAK,1VAD,A0A5B9,P01887,0
4ZAK,1WBX,A0A5B9,P01887,0
4ZAK,1WBY,A0A5B9,P01887,0
4ZAK,1WBZ,A0A5B9,P01887,0
4ZAK,1YN6,A0A5B9,P01887,0
4ZAK,1YN7,A0A5B9,P01887,0
4ZAK,2CLV,A0A5B9,P01887,0
4ZAK,2CLZ,A0A5B9,P01887,0
4ZAK,2FO4,A0A5B9,P01887,0
4ZAK,2FWO,A0A5B9,P01887,0
4ZAK,2OL3,A0A5B9,P01887,0
4ZAK,2QRI,A0A5B9,P01887,0
4ZAK,2VAA,A0A5B9,P01887,0
4ZAK,3BUY,A0A5B9,P01887,0
4ZAK,3CPL,A0A5B9,P01887,0
4ZAK,3DMM,A0A5B9,P01887,0
4ZAK,3FOL,A0A5B9,P01887,0
4ZAK,3FOM,A0A5B9,P01887,0
4ZAK,3FTG,A0A5B9,P01887,0
4ZAK,3G08,A0A5B9,P01887,0
4ZAK,3GML,A0A5B9,P01887,0
4ZAK,3GMM,A0A5B9,P01887,0
4ZAK,3GMO,A0A5B9,P01887,0
4ZAK,3GMQ,A0A5B9,P01887,0
4ZAK,3GMR,A0A5B9,P01887,0
4ZAK,3HE6,A0A5B9,P01887,0
4ZAK,3HE7,A0A5B9,P01887,0
4ZAK,3ILP,A0A5B9,P01887,0
4ZAK,3NWM,A0A5B9,P01887,0
4ZAK,3P4M,A0A5B9,P01887,0
4ZAK,3P4N,A0A5B9,P01887,0
4ZAK,3P4O,A0A5B9,P01887,0
4ZAK,3P9L,A0A5B9,P01887,0
4ZAK,3P9M,A0A5B9,P01887,0
4ZAK,3PAB,A0A5B9,P01887,0
4ZAK,3PWU,A0A5B9,P01887,0
4ZAK,3ROL,A0A5B9,P01887,0
4ZAK,3SDD,A0A5B9,P01887,0
4ZAK,3T1F,A0A5B9,P01887,0
4ZAK,4IHO,A0A5B9,P01887,0
4ZAK,4L8B,A0A5B9,P01887,0
4ZAK,4L8D,A0A5B9,P01887,0
4ZAK,4MQ7,A0A5B9,P01887,0
4ZAK,4MX7,A0A5B9,P01887,0
4ZAK,4NSK,A0A5B9,P01887,0
4ZAK,4PG2,A0A5B9,P01887,0
4ZAK,4PG9,A0A5B9,P01887,0
4ZAK,4PGD,A0A5B9,P01887,0
4ZAK,4PGE,A0A5B9,P01887,0
4ZAK,4ZAK,A0A5B9,P01887,0
4ZAK,4ZUT,A0A5B9,P01887,0
4ZAK,4ZUU,A0A5B9,P01887,0
4ZAK,5E8O,A0A5B9,P01887,0
4ZAK,5EFI,A0A5B9,P01887,0
4ZAK,5KD4,A0A5B9,P01887,0
4ZAK,5OQF,A0A5B9,P01887,0
4ZAK,5OQH,A0A5B9,P01887,0
4ZAK,5WEU,A0A5B9,P01887,0
4ZAK,6C5M,A0A5B9,P01887,0
4ZAK,6C6F,A0A5B9,P01887,0
4ZAK,6C6H,A0A5B9,P01887,0
4ZAK,6CW6,A0A5B9,P01887,0
4ZAK,6CWB,A0A5B9,P01887,0
4ZAK,6CWE,A0A5B9,P01887,0
4ZAK,6CX5,A0A5B9,P01887,0
4ZAK,6CX9,A0A5B9,P01887,0
4ZAK,6CXF,A0A5B9,P01887,0
4ZAK,6CYW,A0A5B9,P01887,0
4ZAK,6E1I,A0A5B9,P01887,0
4ZAK,6GB5,A0A5B9,P01887,0
4ZAK,6MJ4,A0A5B9,P01887,0
4ZAK,6MJA,A0A5B9,P01887,0
4ZAK,6MJI,A0A5B9,P01887,0
4ZAK,6MJJ,A0A5B9,P01887,0
4ZAK,6OJP,A0A5B9,P01887,0
4ZAK,7WCY,A0A5B9,P01887,0
4ZAK,8D5K,A0A5B9,P01887,0
4ZAK,8FHL,A0A5B9,P01887,0
5EU6,1BQH,A0A5B9,P01887,0
5EU6,1BZ9,A0A5B9,P01887,0
5EU6,1DDH,A0A5B9,P01887,0
5EU6,1FFO,A0A5B9,P01887,0
5EU6,1FO0,A0A5B9,P01887,0
5EU6,1FZJ,A0A5B9,P01887,0
5EU6,1FZK,A0A5B9,P01887,0
5EU6,1FZM,A0A5B9,P01887,0
5EU6,1FZO,A0A5B9,P01887,0
5EU6,1G7P,A0A5B9,P01887,0
5EU6,1HOC,A0A5B9,P01887,0
5EU6,1INQ,A0A5B9,P01887,0
5EU6,1JPF,A0A5B9,P01887,0
5EU6,1JUF,A0A5B9,P01887,0
5EU6,1K8D,A0A5B9,P01887,0
5EU6,1KBG,A0A5B9,P01887,0
5EU6,1KJ2,A0A5B9,P01887,0
5EU6,1KJ3,A0A5B9,P01887,0
